group,unweighted_interviews,unique_cu_ids,weighted_population,result_status,measure,mean,p25,median,p75,se,rse_pct,ci95_low,ci95_high,method,variance_note
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,income_before_tax,61774.24897771059,30000.0,54000.0,80044.86609271512,2660.2322680415296,4.306377353128802,56560.19373234919,66988.30422307199,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,income_after_tax,52025.00775367748,27946.185731085578,47320.54070325482,68257.29060866065,1918.759345032513,3.6881481192991887,48264.23943741375,55785.7760699412,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,wages_salaries,58993.379191479704,26626.83662569163,50000.0,80000.0,2608.185462278273,4.421149454437368,53881.33568541429,64105.42269754512,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,total_expenditure,50835.010240165924,,,,1904.4991221055782,3.7464320615023485,47102.191960838994,54567.828519492854,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,housing,18912.221589839457,,,,454.5574460258907,2.4035116332927307,18021.28899562871,19803.154184050203,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,food,8919.922491085983,,,,278.038913092828,3.117055258839781,8374.96622142404,9464.878760747926,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,transportation,7732.921584432368,,,,1196.458403862085,15.472268673598746,5387.863112862681,10077.980056002056,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,healthcare,1962.6896133932614,,,,162.52504912768362,8.28073109566707,1644.1405171030015,2281.2387096835214,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,retirement_pension_social_security,6859.18847082983,,,,347.2340694388048,5.062319994784983,6178.609694729773,7539.767246929888,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,rented_dwellings,11726.445152186223,,,,491.73011567308,4.193343415599434,10762.654125466986,12690.23617890546,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,owned_dwellings,2420.239360851555,,,,287.48685042941855,11.87844702799425,1856.7651340098946,2983.7135876932152,calendar_scope_expenditure_mean,brr_sampling_variance
benchmark_all_one_person_25_34,903,560,6064816.982083334,preliminary_interview_only,utilities,2272.6728885686307,,,,97.41438398609769,4.286335463237342,2081.7406959558793,2463.605081181382,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,income_before_tax,64216.66351207371,34413.7027481833,55000.0,81492.39904960377,2726.3323874198622,4.245521704669802,58873.05203273078,69560.27499141663,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_all,869,535,5795560.7645000005,preliminary_interview_only,income_after_tax,54035.35516406077,31381.963559918404,48197.57684605134,69323.66669051108,1948.4690841411054,3.605915197975868,50216.3557591442,57854.35456897734,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_all,869,535,5795560.7645000005,preliminary_interview_only,wages_salaries,61734.155242151915,31435.018506781842,53086.11630092593,80000.0,2693.9492889043727,4.363790641238015,56454.014635899344,67014.29584840448,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_all,869,535,5795560.7645000005,preliminary_interview_only,total_expenditure,52146.06763656841,,,,1926.246811150902,3.6939445263176185,48370.623886712645,55921.51138642418,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,housing,19284.781799635184,,,,447.0901561312443,2.3183573492115013,18408.485093617946,20161.078505652422,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,food,9070.091318732218,,,,286.30011162042274,3.156529538232264,8508.94309995619,9631.239537508247,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,transportation,7974.464394188636,,,,1231.8085913424352,15.446913177518374,5560.119555157464,10388.809233219808,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,healthcare,2019.6786999121152,,,,168.2166172681912,8.328880097389302,1689.9741300664605,2349.38326975777,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,retirement_pension_social_security,7177.85981574259,,,,354.8349708808301,4.943464765118437,6482.383272816163,7873.3363586690175,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,rented_dwellings,11871.542545987184,,,,487.02776183041357,4.102480869219802,10916.968132799573,12826.116959174795,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,owned_dwellings,2532.681369904568,,,,303.2190531371868,11.972254257495177,1938.3720257556818,3126.990714053454,calendar_scope_expenditure_mean,brr_sampling_variance
y1_all,869,535,5795560.7645000005,preliminary_interview_only,utilities,2314.4458962268577,,,,96.27999273024255,4.159958670332442,2125.737110475582,2503.1546819781333,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,income_before_tax,61751.6435207219,31860.160313733017,52299.48041749317,80000.0,2835.0550059650222,4.591060001526384,56194.935709030455,67308.35133241334,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,income_after_tax,52010.254360973806,29622.491780320433,46700.86876688133,66848.38524124239,2064.9349674107125,3.970245853979419,47962.98182484881,56057.5268970988,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,wages_salaries,59698.00913949084,31000.0,50000.0,78000.0,2766.3596695768842,4.633922821635453,54275.94418712014,65120.074091861534,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,total_expenditure,51412.44136281878,,,,1890.4883811840816,3.67710291725472,47707.08413569798,55117.798589939586,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,housing,19251.352890074035,,,,498.9047334441848,2.591530768216395,18273.499612523432,20229.206167624638,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,food,8847.991894615609,,,,280.81588836899965,3.17378103092396,8297.59275341237,9398.391035818848,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,transportation,7715.082770144253,,,,1165.78618580334,15.110481903249143,5430.141845969707,10000.0236943188,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,healthcare,2078.8211848412134,,,,190.83558193453646,9.179990242841068,1704.7834442495218,2452.858925432905,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,retirement_pension_social_security,6671.8201402514005,,,,357.10504393302784,5.352438111732008,5971.894254142666,7371.746026360135,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,rented_dwellings,15009.406113822224,,,,391.1912105661071,2.606307055719263,14242.671341112655,15776.140886531794,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,owned_dwellings,26.23039324974989,,,,16.601122051050474,63.28964225959047,-6.307805970309037,58.76859246980882,calendar_scope_expenditure_mean,brr_sampling_variance
y1_renter,667,417,4499520.9015833335,preliminary_interview_only,utilities,2008.7961962332006,,,,90.2222311929142,4.491358125931074,1831.9606230950887,2185.631769371312,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,income_before_tax,78546.49620720545,50132.59668810309,70087.6312478082,89000.0,6695.112248971871,8.523756720236358,65424.07619922058,91668.91621519031,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,income_after_tax,66198.8177679426,45843.28494649563,60009.69706878823,74841.23449200895,4909.083314538698,7.415666140364167,56577.01447144675,75820.62106443846,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,wages_salaries,74497.0066018357,45509.426873890174,68000.0,90000.0,6931.061830070576,9.303812523790434,60912.125414897375,88081.88778877404,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,total_expenditure,59033.524130349986,,,,4136.100922719037,7.006359494287091,50926.76632182067,67140.2819388793,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,housing,21855.477403387442,,,,1316.1867481235408,6.022228312979068,19275.751377065302,24435.20342970958,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,food,10065.576464817248,,,,843.0363303603148,8.375440128114123,8413.22525731103,11717.927672323465,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,transportation,9146.352070675526,,,,2679.039176531555,29.290794360747675,3895.4352846736783,14397.268856677374,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,healthcare,1823.6926698241082,,,,184.66953799690356,10.126132601866223,1461.7403753501771,2185.644964298039,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,retirement_pension_social_security,9878.254232928426,,,,1143.059985743735,11.571477700314997,7637.856660870706,12118.651804986146,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,rented_dwellings,0.43155152782519224,,,,0.4452155932268019,103.16626509711826,-0.4410710348993394,1.3041740905497239,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,owned_dwellings,14404.429361768447,,,,1016.0767232414547,7.0539186088015216,12412.918984215195,16395.939739321697,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_with_mortgage,139,84,917928.9666666667,preliminary_interview_only,utilities,3507.2316928789955,,,,151.79689224135856,4.328111329216247,3209.709784085933,3804.7536016720583,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,income_before_tax,79197.99759566372,29922.587149674506,53005.29932533863,89545.48428273952,18348.55082589172,23.16794790642074,43234.837976915944,115161.1572144115,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,income_after_tax,64030.13503132454,27308.62282911915,47235.64159306132,72497.68191606013,13038.504304949047,20.363074821832576,38474.66659362441,89585.60346902467,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,wages_salaries,73867.53629250536,20000.0,51482.36668280425,89447.87133491976,19372.262262178876,26.225678064403503,35897.902258634764,111837.17032637596,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,total_expenditure,48169.67743190866,,,,8607.779651488803,17.86970581992484,31298.429314990608,65040.925548826715,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,housing,14637.595810247669,,,,2412.525388608669,16.481705191775266,9909.046048574677,19366.14557192066,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,food,10598.670187204532,,,,1296.5181856493198,12.232838297153247,8057.494543331866,13139.845831077198,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,transportation,6149.24727067632,,,,1129.3750231565743,18.36606943002897,3935.6722252894347,8362.822316063206,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,healthcare,1831.4962369665377,,,,537.2419172276007,29.33349828320812,778.5020792004404,2884.4903947326347,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,retirement_pension_social_security,9006.234663646761,,,,3201.5577237167054,35.54823789612812,2731.1815251620183,15281.287802131505,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,rented_dwellings,317.406889301159,,,,264.5485000384077,83.34680467108618,-201.10817077412014,835.9219493764382,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,owned_dwellings,5720.124967356778,,,,1445.2130958612393,25.265411229801504,2887.5072994687494,8552.742635244807,calendar_scope_expenditure_mean,brr_sampling_variance
y1_owner_without_mortgage,41,28,232448.62766666667,preliminary_interview_only,utilities,3606.463807754351,,,,403.3219973035222,11.183309158304297,2815.9526930394472,4396.974922469254,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,income_before_tax,26150.8682535412,5790.074731962596,22913.360993475737,43527.48988210105,6998.745908026487,26.762958079140475,12433.326273809287,39868.41023327311,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,income_after_tax,23989.934518706687,5918.137880822441,22257.468523548036,38677.71700465912,6117.9156069596,25.50201044604361,11998.81992906587,35981.049108347506,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,wages_salaries,24839.928349408063,2800.3891972679126,22740.01280108628,43527.48988210105,7239.670136827964,29.145293959756877,10650.174881225254,39029.68181759087,annual_income_scope_weighted,sampling_only_income_imputation_variance_pending
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,total_expenditure,37750.28316976662,,,,8893.66822434958,23.55920930275915,20318.693450041443,55181.872889491795,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,housing,11533.495985433661,,,,4532.829016155363,39.301431429638875,2649.1511137691487,20417.840857098174,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,food,7218.138075687218,,,,1685.6380826186448,23.35281016992959,3914.2874337546737,10521.988717619763,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,transportation,11514.520549544075,,,,7108.755465001398,61.73731189600311,-2418.640161858664,25447.681260946814,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,healthcare,1728.1218116343548,,,,1291.1960894390872,74.7167289219011,-802.6225236662563,4258.866146934966,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,retirement_pension_social_security,2874.4984139961284,,,,1274.6592372455768,44.34370988131961,376.1663089947979,5372.830518997459,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,rented_dwellings,8189.716844616652,,,,4257.396020326996,51.98465467246906,-154.77935522426014,16534.213044457567,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,owned_dwellings,57.71168870125549,,,,53.043633117499034,91.91142091176599,-46.25383220904262,161.6772096115536,calendar_scope_expenditure_mean,brr_sampling_variance
y1_no_cash_rent,22,16,145662.26858333332,preliminary_interview_only,utilities,2177.531850189287,,,,743.7447287028738,34.15540069543516,719.7921819316546,3635.27151844692,calendar_scope_expenditure_mean,brr_sampling_variance
