group,measure,interview_component_mean,interview_component_se,diary_component_mean,diary_component_se,combined_mean,combined_se,rse_pct,ci95_low,ci95_high,status
all_consumer_units,food_at_home,95.87208891173447,4.960732481268122,5956.912816520557,83.86519429477521,6052.784905432291,84.01178298816842,1.387985601681781,5888.121810775481,6217.448000089102,integrated_food_validated
all_consumer_units,food_away_from_home,628.4329872928363,20.860357674695273,3304.093902230658,63.46175128974932,3932.526889523494,66.80230833645061,1.6987120549491035,3801.5943651840507,4063.4594138629373,integrated_food_validated
all_consumer_units,food_total_integrated,724.3050762045708,23.278011830663942,9261.006718751214,112.4096734005226,9985.311794955785,114.79460139222877,1.1496346208259498,9760.314376227017,10210.309213684553,integrated_food_validated
all_consumer_units,partial_integrated_total_expenditure,64006.29077105457,868.658967652403,9261.006718751214,112.4096734005226,73267.29748980579,875.902013216633,1.1954883600538202,71550.52954390118,74984.06543571039,partial_integration_nonfood_interview_only
benchmark_all_one_person_25_34,food_at_home,56.79238665956949,8.690498857712083,3703.3483873048,459.8945125929227,3760.140773964369,459.9766162355189,12.232962643857588,2858.5866061427523,4661.694941785986,integrated_food_validated
benchmark_all_one_person_25_34,food_away_from_home,625.306767417712,121.97137383518957,3163.4967800253644,219.4369708486114,3788.8035474430762,251.0569660663848,6.626286185669719,3296.731893952962,4280.87520093319,integrated_food_validated
benchmark_all_one_person_25_34,food_total_integrated,682.0991540772815,120.85612035274337,6866.845167330165,591.0361986885728,7548.944321407446,603.2661021364908,7.991396895400815,6366.542761219925,8731.345881594969,integrated_food_validated
benchmark_all_one_person_25_34,partial_integrated_total_expenditure,42597.186903157235,1793.3783497248355,6866.845167330165,591.0361986885728,49464.0320704874,1888.2610236463636,3.817442583240176,45763.04046414053,53165.02367683427,partial_integration_nonfood_interview_only
y1_all,food_at_home,59.43090669945128,9.220864416404389,3693.2446852417966,464.6240439220089,3752.675591941248,464.71553291344435,12.383578636837306,2841.833147430897,4663.518036451599,integrated_food_validated
y1_all,food_away_from_home,654.357922580379,127.21630323323633,3209.8549567831633,223.26126484474023,3864.212879363542,256.9622154878105,6.64979449916159,3360.5669370074334,4367.85882171965,integrated_food_validated
y1_all,food_total_integrated,713.7888292798301,126.14757580295394,6903.09964202496,596.7489997185357,7616.88847130479,609.9365373102639,8.007686335543527,6421.412858176673,8812.364084432907,integrated_food_validated
y1_all,partial_integrated_total_expenditure,43789.76514711602,1816.4775280467222,6903.09964202496,596.7489997185357,50692.86478914098,1911.9884880834936,3.7717112576621723,46945.36735249733,54440.36222578463,partial_integration_nonfood_interview_only
y1_renter,food_at_home,57.827968668272895,8.598328000632367,3483.141622657819,609.8614372373249,3540.969591326092,609.9220473745658,17.22471858749146,2345.5223784719433,4736.41680418024,integrated_food_validated
y1_renter,food_away_from_home,541.4865499537726,90.92359243188321,3331.0995668598516,265.90836586490326,3872.5861168136244,281.0237689193967,7.256746795100941,3321.779529731607,4423.392703895642,integrated_food_validated
y1_renter,food_total_integrated,599.3145186220455,87.9652457656224,6814.24118951767,763.3433974251163,7413.5557081397155,768.3950981462112,10.36473088483778,5907.501315773142,8919.61010050629,integrated_food_validated
y1_renter,partial_integrated_total_expenditure,43163.76398682522,1807.2512201560226,6814.24118951767,763.3433974251163,49978.00517634289,1961.8486473599207,3.9254240749259885,46132.78182751745,53823.228525168335,partial_integration_nonfood_interview_only
y1_owner_with_mortgage,food_at_home,85.77486681558403,36.845999211386946,4279.014017258404,564.7004847855176,4364.788884073988,565.9012857158783,12.965146785923809,3255.6223640708668,5473.955404077109,integrated_food_validated
y1_owner_with_mortgage,food_away_from_home,1253.8456836007585,611.7117469307582,3079.656464043231,423.34037675638103,4333.50214764399,743.9141993034644,17.166581992071027,2875.4303170091994,5791.5739782787805,integrated_food_validated
y1_owner_with_mortgage,food_total_integrated,1339.6205504163427,617.659200568058,7358.670481301634,833.0992407447407,8698.291031717978,1037.0907544549011,11.92292544217238,6665.593152986372,10730.988910449583,integrated_food_validated
y1_owner_with_mortgage,partial_integrated_total_expenditure,50307.56821594909,3802.792902486038,7358.670481301634,833.0992407447407,57666.23869725072,3892.9793480222384,6.750881340571704,50035.99917512714,65296.47821937431,partial_integration_nonfood_interview_only
y1_owner_without_mortgage,food_at_home,10.84357636481522,10.591606399339858,5726.586663232587,2602.359856324081,5737.430239597402,2602.3814101574753,45.3579616915758,636.7626756887503,10838.097803506054,integrated_food_validated
y1_owner_without_mortgage,food_away_from_home,663.1734616521712,322.292514331541,1810.4704273769714,891.5516353067075,2473.643889029143,948.0172905660586,38.3247279356018,615.5299995196681,4331.7577785386175,integrated_food_validated
y1_owner_without_mortgage,food_total_integrated,674.0170380169864,331.5156303948235,7537.057090609557,3437.332284407684,8211.074128626544,3453.2818950423703,42.0563965316435,1442.641614343498,14979.50664290959,integrated_food_validated
y1_owner_without_mortgage,partial_integrated_total_expenditure,38245.02428272111,7711.631648326779,7537.057090609557,3437.332284407684,45782.08137333067,8443.015806742667,18.441747411818103,29233.770392115042,62330.392354546304,partial_integration_nonfood_interview_only
y1_no_cash_rent,food_at_home,20.468361978684296,17.935089369258268,2616.3775218943447,,2636.845883873029,,,,,integrated_food_validated
y1_no_cash_rent,food_away_from_home,349.0678768409519,225.42272687699136,1854.2592218823816,,2203.3270987233336,,,,,integrated_food_validated
y1_no_cash_rent,food_total_integrated,369.5362388196362,234.9139299810226,4470.636743776727,,4840.172982596363,,,,,integrated_food_validated
y1_no_cash_rent,partial_integrated_total_expenditure,30901.681332899036,8692.325811215886,4470.636743776727,,35372.318076675765,,,,,partial_integration_nonfood_interview_only
